unidade;mes;ano;porte;quantidade
HAC;Abril;2025;PORTE I (0 A 2 HORAS);99
HAC;Abril;2025;PORTE II ( 2 A 4 HORAS);66
HAC;Abril;2025;PORTE III (4 A 5 HORAS);22
HAC;Abril;2025;PORTE IV (ACIMA 6 HORAS);6
HAC;Agosto;2025;PORTE I (0 A 2 HORAS);90
HAC;Agosto;2025;PORTE II ( 2 A 4 HORAS);67
HAC;Agosto;2025;PORTE III (4 A 5 HORAS);20
HAC;Agosto;2025;PORTE IV (ACIMA 6 HORAS);9
HAC;Fevereiro;2025;PORTE I (0 A 2 HORAS);101
HAC;Fevereiro;2025;PORTE II ( 2 A 4 HORAS);52
HAC;Fevereiro;2025;PORTE III (4 A 5 HORAS);19
HAC;Fevereiro;2025;PORTE IV (ACIMA 6 HORAS);8
HAC;Janeiro;2025;PORTE I (0 A 2 HORAS);96
HAC;Janeiro;2025;PORTE II ( 2 A 4 HORAS);47
HAC;Janeiro;2025;PORTE III (4 A 5 HORAS);25
HAC;Janeiro;2025;PORTE IV (ACIMA 6 HORAS);9
HAC;Julho;2025;PORTE I (0 A 2 HORAS);114
HAC;Julho;2025;PORTE II ( 2 A 4 HORAS);62
HAC;Julho;2025;PORTE III (4 A 5 HORAS);24
HAC;Julho;2025;PORTE IV (ACIMA 6 HORAS);10
HAC;Junho;2025;PORTE I (0 A 2 HORAS);113
HAC;Junho;2025;PORTE II ( 2 A 4 HORAS);34
HAC;Junho;2025;PORTE III (4 A 5 HORAS);26
HAC;Junho;2025;PORTE IV (ACIMA 6 HORAS);11
HAC;Maio;2025;PORTE I (0 A 2 HORAS);88
HAC;Maio;2025;PORTE II ( 2 A 4 HORAS);68
HAC;Maio;2025;PORTE III (4 A 5 HORAS);24
HAC;Maio;2025;PORTE IV (ACIMA 6 HORAS);14
HAC;Mar̤o;2025;PORTE I (0 A 2 HORAS);102
HAC;Mar̤o;2025;PORTE II ( 2 A 4 HORAS);71
HAC;Mar̤o;2025;PORTE III (4 A 5 HORAS);27
HAC;Mar̤o;2025;PORTE IV (ACIMA 6 HORAS);5
HAC;Setembro;2025;PORTE I (0 A 2 HORAS);123
HAC;Setembro;2025;PORTE II ( 2 A 4 HORAS);49
HAC;Setembro;2025;PORTE III (4 A 5 HORAS);20
HAC;Setembro;2025;PORTE IV (ACIMA 6 HORAS);11
HCM;Outubro;2025;PORTE I (0 A 2 HORAS);10
HCM;Setembro;2025;PORTE I (0 A 2 HORAS);8
HEM;Abril;2025;PORTE I (0 A 2 HORAS);43
HEM;Fevereiro;2025;PORTE I (0 A 2 HORAS);29
HEM;Janeiro;2025;PORTE I (0 A 2 HORAS);35
HEM;Janeiro;2025;PORTE II ( 2 A 4 HORAS);1
HEM;Maio;2025;PORTE I (0 A 2 HORAS);43
HEM;Mar̤o;2025;PORTE I (0 A 2 HORAS);31
HJK;Abril;2025;PORTE I (0 A 2 HORAS);249
HJK;Abril;2025;PORTE II ( 2 A 4 HORAS);58
HJK;Abril;2025;PORTE III (4 A 5 HORAS);24
HJK;Abril;2025;PORTE IV (ACIMA 6 HORAS);8
HJK;Agosto;2025;PORTE I (0 A 2 HORAS);228
HJK;Agosto;2025;PORTE II ( 2 A 4 HORAS);70
HJK;Agosto;2025;PORTE III (4 A 5 HORAS);18
HJK;Agosto;2025;PORTE IV (ACIMA 6 HORAS);7
HJK;Fevereiro;2025;PORTE I (0 A 2 HORAS);195
HJK;Fevereiro;2025;PORTE II ( 2 A 4 HORAS);72
HJK;Fevereiro;2025;PORTE III (4 A 5 HORAS);14
HJK;Fevereiro;2025;PORTE IV (ACIMA 6 HORAS);2
HJK;Janeiro;2025;PORTE I (0 A 2 HORAS);216
HJK;Janeiro;2025;PORTE II ( 2 A 4 HORAS);46
HJK;Janeiro;2025;PORTE III (4 A 5 HORAS);11
HJK;Janeiro;2025;PORTE IV (ACIMA 6 HORAS);3
HJK;Julho;2025;PORTE I (0 A 2 HORAS);219
HJK;Julho;2025;PORTE II ( 2 A 4 HORAS);64
HJK;Julho;2025;PORTE III (4 A 5 HORAS);15
HJK;Julho;2025;PORTE IV (ACIMA 6 HORAS);8
HJK;Junho;2025;PORTE I (0 A 2 HORAS);191
HJK;Junho;2025;PORTE II ( 2 A 4 HORAS);66
HJK;Junho;2025;PORTE III (4 A 5 HORAS);23
HJK;Junho;2025;PORTE IV (ACIMA 6 HORAS);14
HJK;Maio;2025;PORTE I (0 A 2 HORAS);185
HJK;Maio;2025;PORTE II ( 2 A 4 HORAS);76
HJK;Maio;2025;PORTE III (4 A 5 HORAS);18
HJK;Maio;2025;PORTE IV (ACIMA 6 HORAS);9
HJK;Mar̤o;2025;PORTE I (0 A 2 HORAS);199
HJK;Mar̤o;2025;PORTE II ( 2 A 4 HORAS);268
HJK;Mar̤o;2025;PORTE III (4 A 5 HORAS);16
HJK;Mar̤o;2025;PORTE IV (ACIMA 6 HORAS);9
HJK;Outubro;2025;PORTE I (0 A 2 HORAS);237
HJK;Outubro;2025;PORTE II ( 2 A 4 HORAS);74
HJK;Outubro;2025;PORTE III (4 A 5 HORAS);32
HJK;Outubro;2025;PORTE IV (ACIMA 6 HORAS);10
HJK;Setembro;2025;PORTE I (0 A 2 HORAS);233
HJK;Setembro;2025;PORTE II ( 2 A 4 HORAS);67
HJK;Setembro;2025;PORTE III (4 A 5 HORAS);30
HJK;Setembro;2025;PORTE IV (ACIMA 6 HORAS);4
HJXXIII;Abril;2025;PORTE I (0 A 2 HORAS);667
HJXXIII;Abril;2025;PORTE II ( 2 A 4 HORAS);264
HJXXIII;Abril;2025;PORTE III (4 A 5 HORAS);47
HJXXIII;Abril;2025;PORTE IV (ACIMA 6 HORAS);23
HJXXIII;Agosto;2025;PORTE I (0 A 2 HORAS);681
HJXXIII;Agosto;2025;PORTE II ( 2 A 4 HORAS);270
HJXXIII;Agosto;2025;PORTE III (4 A 5 HORAS);40
HJXXIII;Agosto;2025;PORTE IV (ACIMA 6 HORAS);11
HJXXIII;Fevereiro;2025;PORTE I (0 A 2 HORAS);610
HJXXIII;Fevereiro;2025;PORTE II ( 2 A 4 HORAS);244
HJXXIII;Fevereiro;2025;PORTE III (4 A 5 HORAS);33
HJXXIII;Fevereiro;2025;PORTE IV (ACIMA 6 HORAS);14
HJXXIII;Janeiro;2025;PORTE I (0 A 2 HORAS);606
HJXXIII;Janeiro;2025;PORTE II ( 2 A 4 HORAS);265
HJXXIII;Janeiro;2025;PORTE III (4 A 5 HORAS);39
HJXXIII;Janeiro;2025;PORTE IV (ACIMA 6 HORAS);14
HJXXIII;Julho;2025;PORTE I (0 A 2 HORAS);651
