unidade;mes;ano;porte;quantidade
CSSFA;Janeiro;2023;PORTE I (0 A 2 HORAS);0
CSSFA;Janeiro;2023;PORTE II ( 2 A 4 HORAS);0
CSSFA;Fevereiro;2023;PORTE I (0 A 2 HORAS);0
CSSFA;Fevereiro;2023;PORTE II ( 2 A 4 HORAS);0
CSSFA;Março;2023;PORTE I (0 A 2 HORAS);0
CSSFA;Março;2023;PORTE II ( 2 A 4 HORAS);0
CSSFA;Abril;2023;PORTE I (0 A 2 HORAS);0
CSSFA;Abril;2023;PORTE II ( 2 A 4 HORAS);0
CSSFA;Maio;2023;PORTE I (0 A 2 HORAS);0
CSSFA;Maio;2023;PORTE II ( 2 A 4 HORAS);0
CSSI;Janeiro;2023;PORTE I (0 A 2 HORAS);0
CSSI;Janeiro;2023;PORTE II ( 2 A 4 HORAS);0
CSSI;Janeiro;2023;PORTE III (4 A 5 HORAS);0
CSSI;Janeiro;2023;PORTE IV (ACIMA 6 HORAS);0
CSSI;Fevereiro;2023;PORTE I (0 A 2 HORAS);0
CSSI;Fevereiro;2023;PORTE II ( 2 A 4 HORAS);0
CSSI;Fevereiro;2023;PORTE III (4 A 5 HORAS);0
CSSI;Fevereiro;2023;PORTE IV (ACIMA 6 HORAS);0
CSSI;Março;2023;PORTE I (0 A 2 HORAS);0
CSSI;Março;2023;PORTE II ( 2 A 4 HORAS);0
CSSI;Março;2023;PORTE III (4 A 5 HORAS);0
CSSI;Março;2023;PORTE IV (ACIMA 6 HORAS);0
CSSI;Abril;2023;PORTE I (0 A 2 HORAS);0
CSSI;Abril;2023;PORTE II ( 2 A 4 HORAS);0
CSSI;Abril;2023;PORTE III (4 A 5 HORAS);0
CSSI;Abril;2023;PORTE IV (ACIMA 6 HORAS);0
CSSI;Maio;2023;PORTE I (0 A 2 HORAS);0
CSSI;Maio;2023;PORTE II ( 2 A 4 HORAS);0
CSSI;Maio;2023;PORTE III (4 A 5 HORAS);0
CSSI;Maio;2023;PORTE IV (ACIMA 6 HORAS);0
